id_mensaje,texto_preprocesado,categoria,urgencia
44,reloj encendido alumbrado ir mal calle paz,Alumbrado_Publico,Media
45,farola plaza reina apenas alumbro,Alumbrado_Publico,Media
46,zumbido molesto transformador farola,Alumbrado_Publico,Media
47,arbol tapar foco gran via marques turio,Alumbrado_Publico,Media
48,corresponder avisar cambiar bombilla farola,Alumbrado_Publico,Baja
49,consulta soterramiento cabl barrio,Alumbrado_Publico,Baja
50,sugerencia iluminar mas monumento centro,Alumbrado_Publico,Baja
51,previsto poner farola solar zona nuevo,Alumbrado_Publico,Baja
52,preguntar consumo electrico alumbrado publico,Alumbrado_Publico,Baja
53,gracias arreglar rapido luz callar ciscar,Alumbrado_Publico,Baja
54,fiesta ilegal piso calle caballeros 1 madrugada,Ruido_Nocturno,Alta
55,pelear borracho botella roto plaza honduras,Ruido_Nocturno,Alta
56,musico altisimo local sin insonorizar ruzafa,Ruido_Nocturno,Alta
57,alarmar negocio sonar sin parar ayer tarde,Ruido_Nocturno,Alta
58,grito amenaza puerto pub calle quart,Ruido_Nocturno,Alta
59,botellon enorme gente chillar parque 4 am,Ruido_Nocturno,Alta
60,terrazar bar recoger mesa 3 am hacer ruido,Ruido_Nocturno,Media
61,camion basura pasar madrugado estruendo,Ruido_Nocturno,Media
62,extractor humo pizzerio hacer ruido constante,Ruido_Nocturno,Media
63,coche pitar atasco nocturno cerca centro,Ruido_Nocturno,Media
64,ladrido continuo perro terrazar,Ruido_Nocturno,Media
65,concierto altavoz excesivo plazar ayuntamiento,Ruido_Nocturno,Media
66,limite decibelios permitido reforma,Ruido_Nocturno,Baja
67,consulta ordenanza municipal ruido musico,Ruido_Nocturno,Baja
68,sugerencia poner panel acustico avenida cid,Ruido_Nocturno,Baja
69,poder presentar queja formal ruido,Ruido_Nocturno,Baja
70,gustario saber si ayuntamiento medir ruido ambiental,Ruido_Nocturno,Baja
71,preguntar subvención aislamiento acustico,Ruido_Nocturno,Baja
72,ramar gigante caido medio parque avenida blasco ibanez,Zonas_Verdes,Alta
73,arbol podrido punto romper él jardin calle quart,Zonas_Verdes,Alta
74,columpio roto hierro saliente parque infantil,Zonas_Verdes,Alta
75,enjambre enorme abeja arbol plaza ayuntamiento,Zonas_Verdes,Alta
76,socavon peligroso tapado hoja seco jardín rio,Zonas_Verdes,Alta
77,palmera arder petardo zona san vicente,Zonas_Verdes,Alta
78,aspersor roto inundar paseo,Zonas_Verdes,Media
79,faltar podo jardín calle colon,Zonas_Verdes,Media
80,cristal roto zona canín parque,Zonas_Verdes,Media
81,seto descontrolado invadir carril bici,Zonas_Verdes,Media
82,hierba alto sin cortar hacer mes,Zonas_Verdes,Media
83,banco parcar lleno pintada astilla,Zonas_Verdes,Media
84,poder solicitar planten arbol alcorque vacio,Zonas_Verdes,Baja
85,sugerencia poner mas fuente agua potable parques,Zonas_Verdes,Baja
86,consultar permiso hacer foto jardín municipal,Zonas_Verdes,Baja
87,gustario saber flores ir plantar temporada,Zonas_Verdes,Baja
88,alguno asociacion vecinal cuidir huerto urbano,Zonas_Verdes,Baja
89,felicitación mantenimiento parterr barrio,Zonas_Verdes,Baja
